@relation GesturePrediction

@attribute labels {click, twoFingerClick, panLeft, panRight, panUp, panDown, closedUp, up, stoped, closedStoped}
@attribute zeroFingerFramesRatio  numeric
@attribute oneFingerFramesRatio  numeric
@attribute twoFingerFramesRatio  numeric
@attribute threeFingerFramesRatio  numeric
@attribute fourFingerFramesRatio  numeric
@attribute fiveFingerFramesRatio  numeric
@attribute pitchAngleAverage  numeric
@attribute yawAngleAverage numeric
@attribute rollAngleAverage numeric
@attribute xAveragePalmVelocity numeric
@attribute yAveragePalmVelocity numeric
@attribute zAveragePalmVelocity numeric
@attribute rightMovementFramesRation numeric
@attribute leftMovementFramesRation numeric
@attribute upMovementFramesRation numeric
@attribute downMovementFramesRation numeric

@data
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.42139179654569436,-0.5334548800808672,-1.713433209681671,141.94471905823022,-23.007653307719718,-17.82184248522624,0.26174496644295303,0.738255033557047,0.2550335570469799,0.7449664429530202
twoFingerClick,0.2608695652173913,0.7391304347826086,0.0,0.0,0.0,0.0,0.6916903257369995,-0.4362476310004359,-2.6215443859929626,-2.4465918579179307,-6.830041816182758,-4.277866642630618,0.4,0.6,0.3739130434782609,0.6260869565217392
twoFingerClick,0.2717391304347826,0.6195652173913043,0.10869565217391304,0.0,0.0,0.0,0.6197189167141914,-0.449138844790666,-2.536984218203503,-4.223173384109269,-10.424723826996658,-2.949219757610041,0.5978260869565217,0.40217391304347827,0.34782608695652173,0.6521739130434783
click,0.34408602150537637,0.6559139784946236,0.0,0.0,0.0,0.0,0.5282363013554645,-0.3605655422133784,-2.5651047742494972,-2.9773496591275737,-8.388757698638464,-6.74914002226245,0.6451612903225806,0.3548387096774194,0.34408602150537637,0.6559139784946236
click,0.7864077669902912,0.21359223300970873,0.0,0.0,0.0,0.0,0.8674097194254977,-0.3849168437198528,-2.810456792127739,-1.0580865224208502,-1.7410175591996573,-3.559426373648412,0.5922330097087378,0.4077669902912621,0.5242718446601942,0.47572815533980584
panLeft,0.23423423423423423,0.6666666666666666,0.0990990990990991,0.0,0.0,0.0,0.8272434607282415,-0.5005274404276598,-2.672329498840882,-6.290983773432337,-12.182101328899195,0.9247454806222571,0.7837837837837838,0.21621621621621623,0.5765765765765766,0.42342342342342343
panDown,0.0,0.0,0.0,0.0,0.6551724137931034,0.3448275862068966,0.9555231990485356,-0.40467816899562703,-2.850734205903678,13.069574528110438,-143.26993397022116,9.018737335246184,0.35172413793103446,0.6482758620689655,0.696551724137931,0.30344827586206896
panDown,0.0,0.0,0.0,0.2644628099173554,0.7355371900826446,0.0,1.0512684081211563,-0.42179095055446153,-2.8992341214960273,3.2470868851773993,-224.13898879966953,14.581440023646866,0.5785123966942148,0.4214876033057851,0.8347107438016529,0.1652892561983471
panUp,0.0,0.0,0.40458015267175573,0.04580152671755725,0.09923664122137404,0.45038167938931295,1.0272605209860184,-0.5276297688029195,-2.8024647836466783,4.010366101301353,163.8969566649153,-58.569229316165426,0.45038167938931295,0.549618320610687,0.061068702290076333,0.9389312977099237
panUp,0.0,0.16058394160583941,0.014598540145985401,0.13138686131386862,0.6934306569343066,0.0,1.01844517462445,-0.45812530282640107,-2.845720649635705,-3.580336197014273,155.44356214178958,-32.102063296226795,0.6496350364963503,0.35036496350364965,0.058394160583941604,0.9416058394160584
panLeft,0.0,0.0,0.0,0.00847457627118644,0.8305084745762712,0.16101694915254236,0.7012097618337405,-0.1476121197465237,-0.4077435832912639,-191.50910628315503,-36.678008249755635,26.871518404743934,0.711864406779661,0.288135593220339,0.652542372881356,0.3474576271186441
panLeft,0.0,0.0,0.0,0.0,0.5739130434782609,0.4260869565217391,0.6251132705937261,-0.15615360493589517,0.13407449307649033,-240.89053066709766,-40.433345966753755,18.356966156285743,0.782608695652174,0.21739130434782608,0.391304347826087,0.6086956521739131
panRight,0.1037037037037037,0.37777777777777777,0.0,0.11851851851851852,0.25925925925925924,0.14074074074074075,0.46407628081463004,-0.7847695801441592,-1.933890824847751,187.0261598179186,-49.362894158286075,-4.858079357500429,0.2518518518518518,0.7481481481481481,0.3925925925925926,0.6074074074074074
panRight,0.0,0.0,0.0,0.7153846153846154,0.15384615384615385,0.13076923076923078,0.5329287712390606,-0.785911089869646,-2.107570620683523,202.80941289749282,-48.20516294183639,-34.41232339143753,0.24615384615384617,0.7538461538461538,0.16923076923076924,0.8307692307692308
panDown,0.0,0.0,0.0,0.5104895104895105,0.006993006993006993,0.4825174825174825,1.0652697782416445,-0.6727551080130197,-2.727064721234195,3.9084651957858694,-131.5206717056828,-12.788035496131524,0.38461538461538464,0.6153846153846154,0.44755244755244755,0.5524475524475524
panDown,0.07692307692307693,0.10256410256410256,0.3162393162393162,0.017094017094017096,0.29914529914529914,0.18803418803418803,1.0747509715903518,-0.626025694812465,-2.775930887613541,19.949649163641226,-188.56374913912552,-15.625037269014069,0.21367521367521367,0.7863247863247863,0.37606837606837606,0.6239316239316239
panDown,0.0,0.2890625,0.0859375,0.109375,0.1796875,0.3359375,0.9601570470258594,-0.45945999561809003,-2.7996430788189173,14.37564745778218,201.43322766013443,-50.39187913923524,0.3671875,0.6328125,0.0625,0.9375
panDown,0.0,0.0,0.05925925925925926,0.2074074074074074,0.16296296296296298,0.5703703703703704,0.9785895299028468,-0.47687787038308604,-2.803642396573667,6.7350659083988935,161.4923514675211,-18.455604568344576,0.23703703703703705,0.762962962962963,0.2962962962962963,0.7037037037037037
